"","rules","support","confidence","lift","count"
"52","{4=UnfallArt_5,5=UnfallTyp_2} => {6=Lichverhaeltniss_0}",0.132068561382948,0.80743394536498,1.0810128686989,1803
"53","{4=UnfallArt_5,5=UnfallTyp_2} => {3=Unfallaktegorie_3}",0.137415763258131,0.84012539184953,1.00300759506163,1876
"54","{5=UnfallTyp_2,7=Fahrrad_1} => {9=StrassenZustand_0}",0.100351596835628,0.857321652065081,1.61258682749965,1370
"55","{5=UnfallTyp_2,7=Fahrrad_1} => {3=Unfallaktegorie_3}",0.103501318488134,0.884230287859825,1.05566347965565,1413
"56","{5=UnfallTyp_2,9=StrassenZustand_0} => {6=Lichverhaeltniss_0}",0.13184881336068,0.854295206454675,1.14375190335581,1800
"57","{5=UnfallTyp_2,9=StrassenZustand_0} => {3=Unfallaktegorie_3}",0.130750073249341,0.847176079734219,1.01142525933813,1785
"58","{5=UnfallTyp_2,6=Lichverhaeltniss_0} => {3=Unfallaktegorie_3}",0.160342806914738,0.854744240531043,1.02046072336946,2189
"59","{4=UnfallArt_5,8=PKW_1} => {7=Fahrrad_1}",0.167960738353355,1,2.62942989214176,2293
"60","{4=UnfallArt_5,7=Fahrrad_1} => {8=PKW_1}",0.167960738353355,0.83200290275762,3.16657475005493,2293
"61","{4=UnfallArt_5,8=PKW_1} => {9=StrassenZustand_0}",0.144301201289188,0.859136502398604,1.61600048646263,1970
"62","{4=UnfallArt_5,8=PKW_1} => {6=Lichverhaeltniss_0}",0.137415763258131,0.818142171827301,1.09534931154127,1876
"63","{4=UnfallArt_5,8=PKW_1} => {3=Unfallaktegorie_3}",0.146278933489599,0.870911469690362,1.03976242975189,1997
"64","{7=Fahrrad_1,8=PKW_1} => {9=StrassenZustand_0}",0.220407266334603,0.838862559241706,1.57786603179495,3009
"65","{8=PKW_1,9=StrassenZustand_0} => {7=Fahrrad_1}",0.220407266334603,1,2.62942989214176,3009
"66","{7=Fahrrad_1,8=PKW_1} => {6=Lichverhaeltniss_0}",0.211544096103135,0.805129634792306,1.07792779976312,2888
"67","{6=Lichverhaeltniss_0,8=PKW_1} => {7=Fahrrad_1}",0.211544096103135,1,2.62942989214176,2888
"68","{7=Fahrrad_1,8=PKW_1} => {3=Unfallaktegorie_3}",0.231907412833285,0.882631725676052,1.05375499072405,3166
"69","{3=Unfallaktegorie_3,8=PKW_1} => {7=Fahrrad_1}",0.231907412833285,1,2.62942989214176,3166
"70","{8=PKW_1,9=StrassenZustand_0} => {6=Lichverhaeltniss_0}",0.186126574860826,0.844466600199402,1.13059311816438,2541
"71","{6=Lichverhaeltniss_0,8=PKW_1} => {9=StrassenZustand_0}",0.186126574860826,0.879847645429363,1.65495729614242,2541
"72","{8=PKW_1,9=StrassenZustand_0} => {3=Unfallaktegorie_3}",0.194403750366247,0.88202060485211,1.05302538674604,2654
"73","{3=Unfallaktegorie_3,8=PKW_1} => {9=StrassenZustand_0}",0.194403750366247,0.838281743524953,1.57677354127895,2654
"74","{6=Lichverhaeltniss_0,8=PKW_1} => {3=Unfallaktegorie_3}",0.186859068268386,0.883310249307479,1.05456506546093,2551
"75","{3=Unfallaktegorie_3,8=PKW_1} => {6=Lichverhaeltniss_0}",0.186859068268386,0.805748578648136,1.07875645736044,2551
