,0,1,2,3,4,5,6,7,8,9,10,11
12418,Monat_12,Stunde_23,Wochentag_2,Unfallaktegorie_2,UnfallArt_3,UnfallTyp_6,Lichverhaeltniss_2,PKW_1,KraftRad_1,StrassenZustand_0,,
12419,Monat_12,Stunde_6,Wochentag_2,Unfallaktegorie_3,UnfallArt_6,UnfallTyp_7,Lichverhaeltniss_2,Fahrrad_1,Fuss_1,StrassenZustand_0,,
12420,Monat_12,Stunde_7,Wochentag_6,Unfallaktegorie_3,UnfallArt_6,UnfallTyp_2,Lichverhaeltniss_2,PKW_1,Fuss_1,StrassenZustand_1,,
12421,Monat_12,Stunde_7,Wochentag_2,Unfallaktegorie_3,UnfallArt_6,UnfallTyp_4,Lichverhaeltniss_0,PKW_1,Fuss_1,StrassenZustand_0,,
12422,Monat_12,Stunde_9,Wochentag_2,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_2,Lichverhaeltniss_0,Fahrrad_1,Sonstiges_1,StrassenZustand_0,,
12423,Monat_12,Stunde_11,Wochentag_6,Unfallaktegorie_3,UnfallArt_2,UnfallTyp_6,Lichverhaeltniss_0,PKW_1,StrassenZustand_0,,,
12424,Monat_12,Stunde_16,Wochentag_4,Unfallaktegorie_3,UnfallArt_1,UnfallTyp_1,Lichverhaeltniss_2,PKW_1,StrassenZustand_1,,,
12425,Monat_12,Stunde_11,Wochentag_6,Unfallaktegorie_3,UnfallArt_1,UnfallTyp_5,Lichverhaeltniss_0,PKW_1,Sonstiges_1,StrassenZustand_1,,
12426,Monat_12,Stunde_10,Wochentag_2,Unfallaktegorie_3,UnfallArt_1,UnfallTyp_5,Lichverhaeltniss_0,Fahrrad_1,PKW_1,Sonstiges_1,StrassenZustand_0,
12427,Monat_12,Stunde_13,Wochentag_6,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_7,Lichverhaeltniss_0,PKW_1,StrassenZustand_1,,,
12428,Monat_12,Stunde_7,Wochentag_6,Unfallaktegorie_2,UnfallArt_6,UnfallTyp_4,Lichverhaeltniss_2,PKW_1,Fuss_1,StrassenZustand_1,,
12429,Monat_12,Stunde_8,Wochentag_2,Unfallaktegorie_3,UnfallArt_8,UnfallTyp_1,Lichverhaeltniss_0,PKW_1,StrassenZustand_0,,,
12430,Monat_12,Stunde_14,Wochentag_6,Unfallaktegorie_2,UnfallArt_6,UnfallTyp_4,Lichverhaeltniss_0,PKW_1,Fuss_1,StrassenZustand_1,,
12431,Monat_12,Stunde_0,Wochentag_1,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_3,Lichverhaeltniss_2,PKW_1,StrassenZustand_0,,,
