OBJECTID;CLUSTER_ID
198728.0;1
196865.0;2
202456.0;3
201726.0;4
200478.0;5
199882.0;5
201103.0;5
204338.0;6
199773.0;7
207005.0;8
201437.0;8
204960.0;9
204693.0;10
197902.0;11
208114.0;12
199530.0;13
206109.0;14
201876.0;15
199840.0;16
203492.0;17
114576.0;18
114691.0;18
114259.0;19
114719.0;19
203411.0;19
114262.0;20
207764.0;21
115060.0;22
115378.0;23
205444.0;24
197106.0;25
206119.0;26
206793.0;27
203005.0;28
206798.0;29
206124.0;30
207528.0;31
207634.0;32
203526.0;32
207936.0;33
199050.0;34
200658.0;35
207928.0;36
199232.0;36
196900.0;37
203650.0;37
203631.0;38
201047.0;37
200588.0;37
198531.0;38
204203.0;39
204035.0;39
205382.0;40
198805.0;41
202512.0;42
207326.0;43
197455.0;44
198490.0;45
114118.0;46
115732.0;46
114390.0;47
114649.0;48
114842.0;49
207214.0;50
205320.0;51
197915.0;52
208067.0;53
207548.0;54
204419.0;55
200683.0;55
197516.0;55
207474.0;56
202383.0;57
199064.0;58
208392.0;59
203018.0;60
201079.0;61
206679.0;62
203848.0;63
202808.0;64
203717.0;64
203020.0;65
200281.0;66
201608.0;67
200273.0;68
202013.0;69
203135.0;70
206063.0;71
204013.0;72
202335.0;73
201057.0;73
208796.0;74
198437.0;75
198911.0;74
200726.0;74
208320.0;76
206948.0;77
199306.0;78
199979.0;79
199348.0;80
197857.0;81
203832.0;82
199262.0;83
197219.0;84
207923.0;85
199341.0;85
200576.0;86
206131.0;85
205828.0;85
203432.0;85
206817.0;85
205744.0;85
201044.0;85
203453.0;87
200072.0;87
202255.0;88
200661.0;89
206312.0;89
208538.0;90
202224.0;91
206198.0;92
201721.0;93
202923.0;94
207725.0;95
202352.0;96
205742.0;97
199227.0;98
200221.0;99
198889.0;100
207754.0;101
204560.0;102
198507.0;103
206208.0;103
207489.0;104
197621.0;105
201330.0;106
202406.0;107
205969.0;108
202159.0;108
201461.0;109
207076.0;110
204016.0;111
203496.0;112
203011.0;113
206172.0;114
199661.0;115
203553.0;116
198118.0;117
202410.0;118
204211.0;119
198463.0;120
198953.0;120
203596.0;120
206320.0;120
197541.0;120
200239.0;121
