,X,Y,OBJECTID_1,OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY
206084,13.40205340204581,52.530709779151394,204085,204085,11,0,1,1,2018,8,15,6,3,6,4,0,1,0,1,0,0,0,0,798540.2977,5829178.0549
206085,13.490358974861046,52.42794268086193,204086,204086,11,0,8,8,2018,8,9,3,3,5,2,0,0,1,0,0,0,0,0,805237.3107,5818125.5547
206086,13.32528965888543,52.461729745731546,204087,204087,11,0,6,6,2018,8,8,3,3,5,3,0,1,1,0,0,0,0,0,793796.9477,5821195.778
206087,13.279632549211447,52.43240198688793,204088,204088,11,0,6,6,2018,8,18,5,3,2,2,0,0,1,0,0,0,0,0,790890.5655,5817751.0346
206088,13.331104025223155,52.44414498625654,204089,204089,11,0,6,6,2018,8,8,3,3,2,6,0,1,0,0,0,0,0,0,794309.0627,5819264.9315
206089,13.56962972912982,52.452861082079934,204090,204090,11,0,9,9,2018,8,7,3,3,3,6,0,1,1,0,0,0,0,0,810447.4486,5821233.1814
206090,13.386281526092295,52.490076860413325,204091,204091,11,0,2,2,2018,8,17,5,3,5,2,0,1,1,0,0,0,0,0,797746.093,5824596.5912
206091,13.365784866578867,52.563001646176,204092,204092,11,0,12,12,2018,8,7,3,3,5,3,0,1,1,0,0,0,0,0,795864.3389,5832617.6744
206092,13.481320207320614,52.46084890863808,204093,204093,11,0,9,9,2018,8,16,7,2,5,2,0,0,1,0,0,0,1,0,804395.9764,5821744.6867
206093,13.198535268441761,52.54288079886779,204094,204094,11,0,5,5,2018,8,10,3,2,5,2,0,0,1,0,1,0,0,0,784665.788,5829707.58
206094,13.241256681072306,52.526107893669405,204095,204095,11,0,5,5,2018,8,18,5,3,5,2,0,1,0,0,0,0,0,0,787670.7178,5828012.7858
206095,13.253325374437912,52.53773672356442,204096,204096,11,0,5,5,2018,8,5,3,2,5,7,1,1,1,0,0,0,0,0,788412.6083,5829353.5901
206096,13.519844464568292,52.52584358532086,204097,204097,11,0,10,10,2018,8,10,6,3,5,2,0,1,1,0,0,0,0,0,806558.3659999999,5829131.5909
206097,13.44168985266698,52.469492839937494,204098,204098,11,0,8,8,2018,8,22,6,3,2,6,2,0,1,0,0,0,0,0,801646.2859,5822538.9578
206098,13.218535899814905,52.537379788354684,204099,204099,11,0,5,5,2018,8,8,3,3,2,6,0,0,1,0,0,0,0,0,786057.0179,5829175.2924
206099,13.32893956598708,52.48012270846118,204100,204100,11,0,4,4,2018,8,11,3,2,5,2,0,1,1,0,0,0,0,0,793922.0184,5823255.0188
206100,13.28107741209085,52.593705067736884,204101,204101,11,0,12,12,2018,8,10,2,3,5,3,0,1,0,0,1,0,0,0,789923.7409999999,5835686.0022
206101,13.365811504321965,52.5030653819176,204102,204102,11,0,1,1,2018,8,18,3,3,5,2,0,1,1,0,0,0,0,0,796269.8253,5825955.9389
206102,13.570487996620274,52.44796517084589,204103,204103,11,0,9,9,2018,8,18,5,3,6,7,0,0,0,1,0,0,1,0,810540.2112,5820692.7425
206103,13.351034801803145,52.524278501085995,204104,204104,11,0,1,1,2018,8,8,2,3,6,4,0,1,0,1,0,0,0,0,795125.2077,5828253.1549
206104,13.527190682145926,52.48189206641386,204105,204105,11,0,11,11,2018,8,10,7,2,5,7,0,1,1,0,0,0,0,0,807363.2239,5824277.9885
206105,13.478104775795995,52.53324495231616,204106,204106,11,0,11,11,2018,8,18,5,2,2,6,0,0,1,0,0,0,0,0,803677.7501,5829777.5215
206106,13.424170194733724,52.46550957947071,204107,204107,11,0,8,8,2018,8,13,2,3,2,6,0,0,1,0,0,0,1,0,800484.2588,5822023.1238
206107,13.138130896735769,52.45826067701329,204108,204108,11,0,5,5,2018,8,15,7,2,5,2,0,1,0,0,0,0,1,0,781112.08,5820064.624
206108,13.416337172018777,52.51998466492489,204109,204109,11,0,1,1,2018,8,19,5,3,5,2,0,1,1,0,0,0,0,0,799581.5669,5828045.2457
206109,13.409751139377278,52.52401693912907,204110,204110,11,0,1,1,2018,8,11,2,3,5,2,0,1,1,0,0,0,0,0,799107.6063,5828466.0737
206110,13.419944802606562,52.53820016271593,204111,204111,11,0,3,3,2018,8,8,6,3,5,3,0,1,1,0,0,0,0,0,799701.9604,5830084.8351
206111,13.43034186148415,52.492729750260295,204112,204112,11,0,8,8,2018,8,22,2,3,5,3,2,1,0,0,0,0,0,0,800717.3005,5825074.2563
206112,13.3093116240658,52.60348203578553,204113,204113,11,0,12,12,2018,8,21,2,3,2,2,2,0,1,0,0,0,0,0,791769.8248,5836886.7468
206113,13.398862782887655,52.539064715203686,204114,204114,11,0,1,1,2018,8,12,1,3,5,2,0,1,1,0,0,0,0,0,798267.3254,5830093.4763
206114,13.389890867970687,52.51038503392036,204115,204115,11,0,1,1,2018,8,21,2,3,5,2,2,0,1,0,1,0,0,0,797853.5002,5826868.7028
206115,13.328976953869207,52.4244605269773,204116,204116,11,0,6,6,2018,8,17,5,3,5,7,0,0,1,0,0,0,0,0,794295.8766,5817068.3431
206116,13.395757537817516,52.529007995167404,204117,204117,11,0,1,1,2018,8,19,2,3,5,2,0,1,1,0,0,0,0,0,798125.0809999999,5828962.8498
206117,13.39867761764974,52.44349767661881,204118,204118,11,0,7,7,2018,8,11,7,3,5,2,0,0,1,0,1,0,0,0,798902.9316,5819470.7002
206118,13.214465953961113,52.508781678084404,204119,204119,11,0,4,4,2018,8,8,2,3,0,6,0,0,1,0,1,0,0,0,785967.0633,5825980.3413
206119,13.281263599611556,52.58539653408389,204120,204120,11,0,12,12,2018,8,12,6,2,5,3,0,0,1,0,1,0,0,0,789991.2589,5834763.237000001
206120,13.390971074133525,52.51487370054694,204121,204121,11,0,1,1,2018,8,17,2,3,5,2,0,1,0,0,0,0,0,0,797896.3564,5827372.0704
206121,13.399155807943464,52.52952556036995,204122,204122,11,0,1,1,2018,8,17,2,3,2,6,0,0,1,0,1,0,0,1,798351.9249,5829034.4354
206122,13.429580382075665,52.49813222232881,204123,204123,11,0,2,2,2018,8,5,6,3,5,3,0,0,1,0,0,0,0,0,800628.7397,5825671.5448
206123,13.321966043251164,52.5654998375546,204124,204124,11,0,12,12,2018,8,17,2,3,0,2,0,1,1,0,0,0,0,0,792879.6056,5832716.3321
206124,13.334957952302231,52.55632705678829,204125,204125,11,0,1,1,2018,8,16,2,3,3,6,0,0,0,0,1,0,1,0,793820.9334,5831749.6627
206125,13.392310848497715,52.414858736246174,204126,204126,11,0,7,7,2018,8,17,1,3,5,2,0,0,1,0,0,0,0,0,798664.3008,5816261.2184
206126,13.424112555231865,52.48614532285141,204127,204127,11,0,8,8,2018,8,16,2,3,2,6,0,1,1,0,0,0,0,0,800339.6082,5824316.4662
206127,13.552238223058396,52.534009245592216,204128,204128,11,0,10,10,2018,8,16,5,3,0,2,0,0,1,0,0,0,1,0,808696.9213,5830177.3937
206128,13.431826748801026,52.5095189583313,204129,204129,11,0,2,2,2018,8,15,2,3,4,6,0,1,0,0,0,0,0,0,800703.2944,5826946.5021
206129,13.479980295514169,52.518219193729784,204130,204130,11,0,11,11,2018,8,15,7,3,3,6,0,0,1,0,1,0,0,0,803908.7129,5828115.3979
206130,13.392327093631325,52.55528641040057,204131,204131,11,0,1,1,2018,8,17,6,3,2,2,0,0,1,0,0,0,1,0,797714.454,5831869.4578
206131,13.164987260151525,52.55117519503143,204132,204132,11,0,5,5,2018,8,15,2,3,6,4,0,0,1,1,0,0,0,0,782338.9436,5830497.6
206132,13.39807507626618,52.49825555683453,204133,204133,11,0,2,2,2018,8,15,2,3,0,6,0,0,1,0,1,0,0,0,798490.7819,5825554.382999999
206133,13.43490630295238,52.440301167167355,204134,204134,11,0,8,8,2018,8,10,5,3,5,2,0,1,0,0,0,1,0,0,801385.3570000001,5819266.0917
206134,13.427442112323394,52.56055614776761,204135,204135,11,0,3,3,2018,8,15,2,3,5,3,0,1,1,0,0,0,0,0,800057.3283,5832600.8265
206135,13.5412384305578,52.4353630742353,204136,204136,11,0,9,9,2018,8,17,7,3,5,3,0,0,1,0,0,0,0,0,808642.1257,5819166.6513
206136,13.508846792091743,52.47386515607118,204137,204137,11,0,9,9,2018,8,14,2,3,2,6,0,0,1,0,1,0,0,0,806174.2726,5823307.8414
206137,13.430530782578291,52.46883960892679,204138,204138,11,0,8,8,2018,8,10,5,3,3,6,0,0,0,0,1,1,0,0,800893.2981,5822419.7531
206138,13.367127114005035,52.4933179764165,204139,204139,11,0,7,7,2018,8,14,2,3,5,7,0,1,1,0,0,0,0,0,796424.6991,5824877.9354
206139,13.478593197002493,52.50286447976195,204140,204140,11,0,11,11,2018,8,13,2,3,5,3,0,0,0,0,1,0,1,0,803920.7291,5826402.9638
206140,13.565178880527597,52.54456090323504,204141,204141,11,0,10,10,2018,8,5,1,2,8,1,1,0,1,0,0,0,0,0,809499.6433,5831405.6194
